file_name,task,Commercial Name,index,mp4_name
setA_blockA_food1.mp4,foodview,BK Bacon King,1,BK Bacon King
setA_blockA_food2.mp4,foodview,McDonalds Breakfast,11,McDonald's Breakfast
setA_blockA_toy1.mp4,foodview,Battlebots Toys,23,BattleBots - Sumobash
setA_blockA_toy2.mp4,foodview,Fastastic Gymnastics Toy,28,Fantastic Gymnastics Vault Challenge Game' Official Spot - Hasbro Gaming
setA_blockB_food1.mp4,foodview,Little Caesars Slices and Stix,8,LC Slices-N-Stix
setA_blockB_food2.mp4,foodview,Taco Bell Nacho Party Pack,19,Taco Bell Commercial 2020 - (USA)
setA_blockB_toy1.mp4,foodview,Megablocks Build a Minion,24,Build-A-Minion
setA_blockB_toy2.mp4,foodview,Hatchimal,29,Hatchimal
setA_food1.mp4,sst,BK Pancakes,3,BK Breakfast
setA_food2.mp4,sst,Dominos Carryout,5,Domino's Commercial 2021 - (USA)
setB_blockA_food1.mp4,foodview,BK buy one get one,2,BK BOGO
setB_blockA_food2.mp4,foodview,Dominos more than Pizza,6,Dominos Everything
setB_blockA_toy1.mp4,foodview,Connect 4 Toy,25,Connect-Four
setB_blockA_toy2.mp4,foodview,Morph Fluff,37,Morph_fMRI_commercial
setB_blockB_food1.mp4,foodview,McDonalds Spicy Chicken,16,McDonald's Spicy Chicken
setB_blockB_food2.mp4,foodview,Taco Bell Crunch Wrap,20,Taco Bell Commercial 2021 - (USA)
setB_blockB_toy1.mp4,foodview,DroneHome,27,Drone_Home
setB_blockB_toy2.mp4,foodview,Uno Attach,45,Uno_Attack_fMRI
setB_food1.mp4,sst,Little Caesars Pizza,7,LC Pepperoni Pizza
setB_food2.mp4,sst,McDonalds Quarter Pounder,12,McDonald's Quarter-Pounder
setC_blockA_food1.mp4,foodview,BK Chicken Nuggets,4,BK Nuggets 10for1
setC_blockA_food2.mp4,foodview,McDonalds Big Mac,10,McDonald's Big Mac
setC_blockA_toy1.mp4,foodview,Creator Cam VTech,31,Kidizoom_fMRI_commercial
setC_blockA_toy2.mp4,foodview,Crayola,36,Marker-Air-Brush
setC_blockB_food1.mp4,foodview,McDonalds Quarter Pounder 2,14,McDonald's Burger
setC_blockB_food2.mp4,foodview,Taco Bell Nachos,21,Taco Bell Nacho Box
setC_blockB_toy1.mp4,foodview,Legos 2,33,Lego_2
setC_blockB_toy2.mp4,foodview,Play-Doh,39,Play_Doh
setC_food1.mp4,sst,McDonalds Fries,13,McDonald's Fries
setC_food2.mp4,sst,Taco Bell Chicken Chips,18,Taco Bell Chicken Chips
setD_blockA_food1.mp4,foodview,McDonalds Dollar Menu,9,Mcdonalds 123 Dollar Menu
setD_blockA_food2.mp4,foodview,Taco Bell Nacho Fries,22,Taco Bell Nacho Fries
setD_blockA_toy1.mp4,foodview,Orbeez,38,Orbeez_Challenge_Kit
setD_blockA_toy2.mp4,foodview,Unboxing Toy,44,Unboxing
setD_blockB_food1.mp4,foodview,McDonalds Sauce,15,McDonald's Sauce Portfolio
setD_blockB_food2.mp4,foodview,McDonalds Fries,17,McDonald's Trust Me
setD_blockB_toy1.mp4,foodview,Robofish,40,Robo-Fish
setD_blockB_toy2.mp4,foodview,Treasure X Minecraft,43,TreasureX_Minecraft
setD_toy1.mp4,sst,Doodle Jamz,26,Doodle_Jams
setD_toy2.mp4,sst,Snuggle Pets,30,Huggle_Pets_hoodie
setE_toy1.mp4,sst,Legos,32,Lego_1
setE_toy2.mp4,sst,Littlest Pet Shop,34,Littlest_pet_shop
setF_toy1.mp4,sst,Monopoly,35,Mario_Monopoly
setF_toy2.mp4,sst,Starwars Role Play Kit,42,Star Wars - 'Role Play Gear' Digital Spot
,,Toby Smart Watch Toy,41,